trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.988}",20,0,-99.60376266344086,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.99, 'e': 0.986}",30,0,-88.50829035454962,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.99, 'e': 0.984}",35,0,-127.9088969210783,"{0: 21, 1: 3, 2: 9, 3: 2, 4: 0}",0
4,False,"{'a': 0.99, 'e': 0.982}",20,0,-92.77286914097095,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.99, 'e': 0.98}",25,0,-227.1558909062714,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
6,False,"{'a': 0.99, 'e': 0.978}",20,0,-88.24485133408312,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
7,False,"{'a': 0.99, 'e': 0.976}",20,0,-61.674154188580694,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.99, 'e': 0.974}",20,0,-92.40579245133549,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.99, 'e': 0.972}",30,0,-90.73821356966089,"{0: 19, 1: 5, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.99, 'e': 0.97}",20,0,-54.807145494598004,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.99, 'e': 0.968}",20,0,-165.84516773690228,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.99, 'e': 0.966}",30,0,-160.39892130640473,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.99, 'e': 0.964}",25,0,-197.54637995099412,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.99, 'e': 0.962}",20,0,-98.01933261248854,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.99, 'e': 0.96}",25,14,-60.00460627679176,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.99, 'e': 0.958}",20,0,-83.45817302839545,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.99, 'e': 0.956}",20,0,-221.4645279018561,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
18,False,"{'a': 0.99, 'e': 0.954}",25,0,-119.51280766267398,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.99, 'e': 0.952}",25,0,-39.68699293987977,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.99, 'e': 0.95}",20,0,-98.29881688056754,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
21,False,"{'a': 0.99, 'e': 0.948}",20,0,-80.94272737292802,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.99, 'e': 0.946}",20,14,-10.555111880860071,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.99, 'e': 0.944}",25,0,-61.315254078352766,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.99, 'e': 0.942}",20,0,-47.02620367191568,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.99, 'e': 0.94}",30,0,-76.08001802783727,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
26,False,"{'a': 0.99, 'e': 0.938}",20,0,-27.314817810025406,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.99, 'e': 0.9359999999999999}",20,0,-181.82661792025027,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
28,False,"{'a': 0.99, 'e': 0.9339999999999999}",25,0,-99.74640889216505,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
29,False,"{'a': 0.99, 'e': 0.9319999999999999}",25,0,-57.43062683322297,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.99, 'e': 0.9299999999999999}",20,0,-94.18080672366165,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.99, 'e': 0.9279999999999999}",20,0,-99.964059471751,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.99, 'e': 0.9259999999999999}",25,0,-142.49455399329253,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.99, 'e': 0.9239999999999999}",30,12,-119.17646776037365,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 2}",1
34,False,"{'a': 0.99, 'e': 0.9219999999999999}",20,0,-38.466245474672995,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.99, 'e': 0.9199999999999999}",20,0,-123.48687632941174,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.99, 'e': 0.9179999999999999}",25,0,-147.80200529985615,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
37,False,"{'a': 0.99, 'e': 0.9159999999999999}",20,0,-61.872368349980825,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
