trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.79933222880302,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-242.75769211524312,"{0: 11, 1: 4, 2: 10, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-78.00092751553595,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-240.05803869816884,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-69.50968129424955,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-77.93399749137325,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,14,-1.206447033291438,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-78.09946907178747,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-101.07697741034944,"{0: 21, 1: 6, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-55.924037947037974,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-105.02118335275946,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-90.16944124438189,"{0: 21, 1: 6, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-91.1096917251312,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-173.62464227399136,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-140.70934674713362,"{0: 19, 1: 0, 2: 8, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,16,-117.34730736334318,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-77.34817005033875,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-55.206969814926275,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-117.69154604234166,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-77.03998397533488,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-124.16857813160016,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,3,-81.7933225765741,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 1}",1
3,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,0,-176.68224312397777,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,0,-100.38050836827293,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,0,-174.13698759723573,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,-83.69401935267376,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3000000000000003}",30,0,-91.8520160168093,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-53.76694518899594,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,-129.44778822650798,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-111.58679269374457,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
